street id;street name;period;count
968994;On or near Sports/recreation Area;from 2019-01 till 2019-05;979
1490430;London Victoria (station);from 2019-01 till 2019-05;568
974504;On or near Shopping Area;from 2019-01 till 2019-05;510
944252;On or near Wallis Road;from 2019-01 till 2019-05;494
956803;On or near Parking Area;from 2019-01 till 2019-05;459
1486721;St Pancras International (station);from 2019-01 till 2019-05;397
963812;On or near Meridian Square;from 2019-01 till 2019-05;359
956527;On or near Coventry Street;from 2019-01 till 2019-05;340
1489883;Oxford Circus (lu Station);from 2019-01 till 2019-05;331
956212;On or near Nightclub;from 2019-01 till 2019-05;328
956514;On or near Falconberg Mews;from 2019-01 till 2019-05;327
956596;On or near Supermarket;from 2019-01 till 2019-05;323
1490446;Kings Cross St Pancras (lu Station);from 2019-01 till 2019-05;304
956579;On or near Nightclub;from 2019-01 till 2019-05;300
978320;On or near Parking Area;from 2019-01 till 2019-05;294
1490345;London Bridge (station);from 2019-01 till 2019-05;293
1486480;Euston (lu Station);from 2019-01 till 2019-05;292
956370;On or near Shopping Area;from 2019-01 till 2019-05;292
1490020;Waterloo (london) (station);from 2019-01 till 2019-05;290
1486578;Liverpool Street (station);from 2019-01 till 2019-05;261
956562;On or near Nightclub;from 2019-01 till 2019-05;261
1489515;Kings Cross (station);from 2019-01 till 2019-05;251
957353;On or near Shopping Area;from 2019-01 till 2019-05;251
956428;On or near Parking Area;from 2019-01 till 2019-05;245
944231;On or near Airport/airfield;from 2019-01 till 2019-05;241
956113;On or near Southwark Street;from 2019-01 till 2019-05;239
976466;On or near Shopping Area;from 2019-01 till 2019-05;235
964928;On or near Nightclub;from 2019-01 till 2019-05;234
956889;On or near Further/higher Educational Building;from 2019-01 till 2019-05;232
953279;On or near Howick Place;from 2019-01 till 2019-05;228
1490438;Stratford (lu Station);from 2019-01 till 2019-05;224
958198;On or near Blackmore Avenue;from 2019-01 till 2019-05;221
956493;On or near Little Newport Street;from 2019-01 till 2019-05;220
956566;On or near Nightclub;from 2019-01 till 2019-05;217
1488728;Leicester Square (lu Station);from 2019-01 till 2019-05;215
942589;On or near Supermarket;from 2019-01 till 2019-05;214
956484;On or near Moor Street;from 2019-01 till 2019-05;211
1489478;Green Park (lu Station);from 2019-01 till 2019-05;207
944074;On or near Bell Road;from 2019-01 till 2019-05;197
1488492;Piccadilly Circus (lu Station);from 2019-01 till 2019-05;196
953533;On or near Bridge Street;from 2019-01 till 2019-05;190
963833;On or near Conference/exhibition Centre;from 2019-01 till 2019-05;187
1489886;Paddington (station);from 2019-01 till 2019-05;184
956528;On or near Charing Cross Road;from 2019-01 till 2019-05;184
956602;On or near Shopping Area;from 2019-01 till 2019-05;181
956437;On or near Winnett Street;from 2019-01 till 2019-05;179
956215;On or near Nightclub;from 2019-01 till 2019-05;179
956524;On or near Dansey Place;from 2019-01 till 2019-05;178
956543;On or near Motorway Service Area;from 2019-01 till 2019-05;176
961437;On or near Rivington Place;from 2019-01 till 2019-05;175
953224;On or near Elizabeth Street;from 2019-01 till 2019-05;175
956461;On or near Shaftesbury Avenue;from 2019-01 till 2019-05;175
957028;On or near West Carriage Drive;from 2019-01 till 2019-05;174
956645;On or near Pedestrian Subway;from 2019-01 till 2019-05;174
932069;On or near Nightclub;from 2019-01 till 2019-05;172
953532;On or near Canon Row;from 2019-01 till 2019-05;170
978082;On or near Shopping Area;from 2019-01 till 2019-05;169
968786;On or near Hospital;from 2019-01 till 2019-05;168
972019;On or near Station Place;from 2019-01 till 2019-05;166
1488703;Tottenham Court Road (lu Station);from 2019-01 till 2019-05;164
956537;On or near Bourchier Street;from 2019-01 till 2019-05;164
956438;On or near Whitcomb Street;from 2019-01 till 2019-05;161
951531;On or near Shopping Area;from 2019-01 till 2019-05;161
956560;On or near Nightclub;from 2019-01 till 2019-05;160
953525;On or near Further/higher Educational Building;from 2019-01 till 2019-05;156
956466;On or near Romilly Street;from 2019-01 till 2019-05;155
956530;On or near Charing Cross Road;from 2019-01 till 2019-05;155
956432;On or near Shopping Area;from 2019-01 till 2019-05;153
963837;On or near Further/higher Educational Building;from 2019-01 till 2019-05;152
956456;On or near Soho Street;from 2019-01 till 2019-05;152
956511;On or near Gerrard Place;from 2019-01 till 2019-05;152
790064;On or near Shopping Area;from 2019-01 till 2019-05;152
956885;On or near Shopping Area;from 2019-01 till 2019-05;151
956379;On or near Harewood Place;from 2019-01 till 2019-05;150
956630;On or near Great Russell Street;from 2019-01 till 2019-05;148
978332;On or near Waldegrave Road;from 2019-01 till 2019-05;148
956463;On or near Rupert Street;from 2019-01 till 2019-05;148
956495;On or near Lisle Street;from 2019-01 till 2019-05;147
956336;On or near Kingly Street;from 2019-01 till 2019-05;147
944081;On or near Shopping Area;from 2019-01 till 2019-05;147
983575;On or near Supermarket;from 2019-01 till 2019-05;146
1490121;Finsbury Park (station);from 2019-01 till 2019-05;145
1488506;Holborn (lu Station);from 2019-01 till 2019-05;144
956570;On or near Nightclub;from 2019-01 till 2019-05;143
956513;On or near Frith Street;from 2019-01 till 2019-05;142
941975;On or near Hospital;from 2019-01 till 2019-05;142
1488327;East Croydon (station);from 2019-01 till 2019-05;141
